Trait Connotation,Adjective Phrase
Positive,Adventurous
Positive,Affectionate
Positive,Ambitious
Positive,Brave
Positive,Chatty
Positive,Cheerful
Positive,Confident
Positive,Creative
Positive,Determined
Positive,Easy-going
Positive,Enthusiastic
Positive,Frank
Positive,Friendly
Positive,Funny
Positive,Generous
Positive,Hard-working
Positive,Helpful
Positive,Imaginative
Positive,Intelligent
Positive,Kind
Positive,Loyal
Positive,Meticulous
Positive,Modest
Positive,Optimistic
Positive,Outgoing
Positive,Patient
Positive,Reliable
Positive,Sensible
Positive,Sensitive
Positive,"Sincere
"
Positive,Sociable
Positive,Sympathetic
Positive,Thoughtful
Positive,Trustworthy
Negative,Arrogant
Negative,Big-headed
Negative,Bossy
Negative,Childish
Negative,Clumsy
Negative,Cruel
Negative,Defensive
Negative,Dishonest
Negative,Fussy
Negative,Grumpy
Negative,Impolite
Negative,Inconsiderate
Negative,Indecisive
Negative,Inflexible
Negative,Jealous
Negative,Lazy
Negative,Mean
Negative,Moody
Negative,Narrow-minded
Negative,Nasty
Negative,Pessimistic
Negative,Pretentious
Negative,Rebellious
Negative,Rude
Negative,Quick-tempered
Negative,Self-centred
Negative,Selfish
Negative,Stubborn
Negative,Sulky
Negative,Tactless
Negative,Unpleasant
Negative,Unreliable
Negative,Insecure
Negative,Vain
